Descriptor,X,Y,Z
A1,0,0,17520.5
A2,0,1,37289.5
A3,0,2,41692.5
A4,0,3,37172
A5,0,4,18322
A6,0,5,2078.5
A7,0,6,992
A8,0,7,877
A9,0,8,834.5
A10,0,9,760.5
A11,0,10,718
A12,0,11,738
B1,1,0,21137
B2,1,1,43329
B3,1,2,48399.5
B4,1,3,46238.5
B5,1,4,36909.5
B6,1,5,12965
B7,1,6,4744.5
B8,1,7,3205
B9,1,8,2397.5
B10,1,9,2069
B11,1,10,2007.5
B12,1,11,1834.5
C1,2,0,24771.5
C2,2,1,48220.5
C3,2,2,56902.5
C4,2,3,56128
C5,2,4,45706.5
C6,2,5,28276
C7,2,6,11804.5
C8,2,7,9681.5
C9,2,8,5338.5
C10,2,9,4387.5
C11,2,10,3299.5
C12,2,11,3155
D1,3,0,24253.5
D2,3,1,48799.5
D3,3,2,58457.5
D4,3,3,60145
D5,3,4,55984.5
D6,3,5,44568.5
D7,3,6,14740.5
D8,3,7,8478.5
D9,3,8,6709
D10,3,9,5705
D11,3,10,6047
D12,3,11,5638.5
E1,4,0,26772.5
E2,4,1,53353
E3,4,2,64411.5
E4,4,3,65777.5
E5,4,4,59195.5
E6,4,5,54219
E7,4,6,26115.5
E8,4,7,18187.5
E9,4,8,11643
E10,4,9,8670.5
E11,4,10,7009
E12,4,11,5889
F1,5,0,25768.5
F2,5,1,50878.5
F3,5,2,62409
F4,5,3,63882
F5,5,4,66113.5
F6,5,5,58548
F7,5,6,40926
F8,5,7,19653.5
F9,5,8,14767
F10,5,9,12433
F11,5,10,10431.5
F12,5,11,8062.5
G1,6,0,28489
G2,6,1,56395
G3,6,2,67954.5
G4,6,3,71207.5
G5,6,4,70450.5
G6,6,5,61345
G7,6,6,53199
G8,6,7,33936.5
G9,6,8,21389
G10,6,9,16048.5
G11,6,10,15252
G12,6,11,10938.5
H1,7,0,26682.5
H2,7,1,52827
H3,7,2,65269
H4,7,3,71824.5
H5,7,4,71390
H6,7,5,63804
H7,7,6,49451
H8,7,7,30184.5
H9,7,8,21428.5
H10,7,9,17348
H11,7,10,18069
H12,7,11,15256.5
